tok1,tok2,tok3,tok4,tok5,target
2059,15223,18484,2102,2025,3413
3413,2000,2158,26302,1025,102
102,101,2073,15223,21146,7096
7096,2444,1010,6229,2057,2064
2064,2424,1037,2051,102,101
101,2000,15347,2115,3510,1010
1010,21063,2115,2814,1010,102
102,101,11693,14933,1997,1996
1996,3159,1010,1998,2655,14992
14992,2067,102,101,2007,3174
3174,3634,4595,2335,2062,6569
6569,102,101,2084,15223,2253
2253,1005,2358,5743,1999,20342
20342,23436,1012,102,101,2175
2175,2077,1010,6821,1024,4012
4012,3549,2094,2033,2000,15177
15177,3203,1025,102,101,1998
1998,7226,2014,24748,2078,2035
2035,1996,2160,2000,2793,1010
1010,102,101,2029,3082,14038
14038,3084,2068,26794,19662,1024
1024,102,101,12390,2003,2746
2746,1012,102,101,102,101
101,6821,1024,102,101,1051
1051,2935,1010,1045,2071,2031
2031,2994,1005,1040,2182,2035
2035,1996,2305,102,101,2000
2000,2963,2204,9517,1024,1051
1051,1010,2054,4083,2003,999
999,102,101,2026,2935,1010
1010,1045,1005,2222,2425,2026
2026,3203,2017,2097,2272,1012
1012,102,101,102,101,12390
12390,1024,102,101,2079,2061
2061,1010,1998,7226,2026,4086
4086,7374,2000,9610,3207,1012
1012,102,101,102,101,6821
6821,1024,102,101,2182,1010
1010,2909,1010,1037,3614,2016
2016,7226,2033,2507,2017,1010
1010,2909,1024,102,101,7632
7632,2063,2017,1010,2191,24748
24748,1010,2005,2009,7502,2200
2200,2397,1012,102,101,102
102,101,12390,1024,102,101
101,2129,2092,2026,7216,2003
2003,10570,2011,2023,999,102
102,101,102,101,25287,10883
10883,1024,102,101,2175,6516
6516,1025,2204,2305,1025,1998
1998,2182,4832,2035,2115,2110
2110,1024,102,101,2593,2022
2022,2908,2077,1996,3422,2022
2022,2275,1010,102,101,2030
2030,2011,1996,3338,1997,2154
2154,17330,2013,6516,1024,102
102,101,2061,23099,6826,1999
1999,2158,26302,1025,1045,1005
1005,2222,2424,2041,2115,2158
2158,1010,102,101,1998,2002
2002,4618,3696,8757,2013,2051
2051,2000,2051,102,101,2296
2296,2204,5292,2361,2000,2017
2017,2008,9592,2182,1024,102
102,101,2507,2033,15177,2192
2192,1025,1005,22320,2397,1024
1024,13407,1025,2204,2305,1012
1012,102,101,102,101,12390
12390,1024,102,101,2021,2008
2008,1037,6569,2627,6569,4455
4455,2041,2006,2033,1010,102
102,101,2009,2020,1037,9940
9940,1010,2061,4766,2000,2112
2112,2007,14992,1024,13407,1012
1012,102,101,102,101,6178
6178,9307,2102,1024,102,101
101,2477,2031,2991,1005,1050
1050,2041,1010,2909,1010,2061
2061,4895,7630,18009,2135,1010
1010,102,101,2008,2057,2031
2031,2018,2053,2051,2000,2693
2693,2256,2684,1024,102,101
101,2298,2017,1010,2016,3866
3866,2014,12631,11512,5939,10264
10264,2102,6203,2135,1010,102
102,101,1998,2061,2106,1045
1045,1024,1011,1011,2092,1010
1010,2057,2020,2141,2000,3280
3280,1012,102,101,1005,22320
22320,2200,2397,1010,2016,1005
1005,2222,2025,2272,2091,2000
2000,1011,2305,1024,102,101
101,1045,4872,2017,1010,2021
2021,2005,2115,2194,1010,102
102,101,1045,2052,2031,2042
2042,1037,1011,2793,2019,3178
3178,3283,1012,102,101,102
102,101,3000,1024,102,101
101,2122,2335,1997,24185,2063
2063,8984,2053,2051,2000,15854
15854,1012,102,101,21658,1010
1010,2204,2305,1024,4012,3549
3549,2094,2033,2000,2115,2684
2684,1012,102,101,102,101
101,3203,6178,9307,2102,1024
1024,102,101,1045,2097,1010
1010,1998,2113,2014,2568,2220
2220,2000,1011,19084,1025,102
102,101,2000,1011,2305,2016
2016,2003,2033,2860,1005,1040
1040,2039,2000,2014,2002,18891
18891,2791,1012,102,101,102
102,101,6178,9307,2102,1024
1024,102,101,2909,3000,1010
1010,1045,2097,2191,1037,7143
7143,8616,102,101,1997,2026
2026,2775,1005,1055,2293,1024
1024,1045,2228,2016,2097,2022
2022,5451,102,101,1999,2035
2035,17475,2011,2033,1025,29349
29349,1010,2062,1010,1045,4797
4797,2009,2025,1012,102,101
101,2564,1010,2175,2017,2000
2000,2014,9413,2063,2017,2175
2175,2000,2793,1025,102,101
101,9353,16211,18447,2014,2182
2182,1997,2026,2365,3000,1005
1005,2293,1025,102,101,1998
1998,7226,2014,1010,2928,2017
2017,2033,1010,2006,9317,2279
2279,1011,1011,102,101,2021
2021,1010,3730,999,2054,2154
2154,2003,2023,1029,102,101
101,102,101,3000,1024,102
102,101,6928,1010,2026,2935
2935,1010,102,101,102,101
101,6178,9307,2102,1024,102
102,101,6928,999,5292,1010
1010,5292,999,2092,1010,9317
9317,2003,2205,2574,1010,102
102,101,1051,1005,9432,2292
2292,2009,2022,1024,1051,1005
1005,9432,1010,2425,2014,1010
1010,102,101,2016,4618,2022
2022,2496,2000,2023,7015,4656
4656,1012,102,101,2097,2017
2017,2022,3201,1029,2079,2017
2017,2066,2023,24748,1029,102
102,101,2057,1005,2222,2562
2562,2053,2307,4748,2080,1010
1010,1011,1011,1037,2767,2030
2030,2048,1025,102,101,2005
2005,1010,5292,8024,2017,1010
1010,5939,10264,2102,2108,19668
19668,2061,2397,1010,102,101
101,2009,2089,2022,2245,2057
2057,2218,2032,23358,2135,1010
1010,102,101,2108,2256,12631
12631,11512,1010,2065,2057,7065
7065,2884,2172,1024,102,101
101,3568,2057,1005,2222,2031
2031,2070,2431,1037,6474,2814
2814,1010,102,101,1998,2045
2045,2019,2203,1012,2021,2054
2054,2360,2017,2000,9432,1029
1029,102,101,102,101,3000
3000,1024,102,101,2026,2935
2935,1010,1045,2052,2008,9432
9432,2020,2000,1011,19084,1012
1012,102,101,102,101,6178
6178,9307,2102,1024,102,101
101,2092,2131,2017,2908,1024
1024,1051,1005,9432,2022,2009
2009,1010,2059,1012,102,101
101,2175,2017,2000,13707,9413
9413,2063,2017,2175,2000,2793
2793,1010,102,101,7374,2014
2014,1010,2564,1010,2114,2023
2023,5030,1011,2154,1012,102
102,101,13407,1010,2026,2935
2935,1012,2422,2000,2026,4574
4574,1010,7570,999,102,101
101,21358,5686,2033,999,2009
2009,2003,2061,2200,2200,2397
2397,1010,102,101,2008,2057
2057,2089,2655,2009,2220,2011
2011,1998,2011,1012,102,101
101,2204,2305,1012,102,101
101,102,101,13707,1024,102
102,101,19863,2102,15223,2022
2022,2908,1029,2009,2003,2025
2025,2664,2379,2154,1024,102
102,101,2009,2001,1996,21771
21771,1010,1998,2025,1996,23404
23404,1010,102,101,2008,16276
16276,1996,19725,8892,1997,4857
4857,2063,4540,1025,102,101
101,22390,2016,10955,2006,10930
10930,2078,13433,4168,17643,12556
12556,1011,3392,1024,102,101
101,2903,2033,1010,2293,1010
1010,2009,2001,1996,21771,1012
1012,102,101,102,101,12390
12390,1024,102,101,2009,2001
2001,1996,23404,1010,1996,9536
9536,1997,1996,22822,2078,1010
1010,102,101,2053,21771,1024
1024,2298,1010,2293,1010,2054
2054,4372,24918,21295,102,101
101,2079,12922,1996,7367,6299
6299,2075,8044,1999,10930,11563
11563,2264,1024,102,101,2305
2305,1005,1055,14006,2024,11060
11060,2041,1010,1998,8183,10841
10841,4859,2154,102,101,4832
4832,5955,3406,2063,2006,1996
1996,15167,3137,13284,1012,102
102,101,1045,2442,2022,2908
2908,1998,2444,1010,2030,2994
2994,1998,3280,1012,102,101
101,102,101,13707,1024,102
102,101,10930,2078,2422,2003
2003,2025,2154,1011,2422,1010
1010,1045,2113,2009,1010,1045
1045,1024,102,101,2009,2003
2003,2070,23879,2008,1996,3103
3103,4654,15238,2015,1010,102
102,101,2000,2022,2000,14992
14992,2023,2305,1037,12723,1011
1011,20905,1010,102,101,1998
1998,2422,14992,2006,15177,2126
2126,2000,2158,26302,1024,102
102,101,3568,2994,2664,1025
1025,15223,2342,1005,2358,2025
2025,2000,2022,2908,1012,102
102,101,102,101,12390,1024
1024,102,101,2292,2033,2022
2022,11937,1005,4372,1010,2292
2292,2033,2022,2404,2000,2331
2331,1025,102,101,1045,2572
2572,4180,1010,2061,15223,19863
19863,2102,2031,2009,2061,1012
1012,102,101,1045,1005,2222
2222,2360,10930,2078,4462,2003
2003,2025,1996,2851,1005,1055
1055,3239,1010,102,101,1005
1005,22320,2021,1996,5122,22259
22259,1997,15809,1005,1055,8306
8306,1025,102,101,4496,2008
2008,2003,2025,1996,23404,1010
1010,3005,3964,2079,3786,102
102,101,1996,11632,2100,6014
6014,2061,2152,2682,2256,4641
4641,1024,102,101,1045,2031
2031,2062,2729,2000,2994,2084
2084,2097,2000,2175,1024,102
102,101,2272,1010,2331,1010
1010,1998,6160,999,13707,17234
17234,2009,2061,1012,102,101
101,2129,2003,1005,1056,1010
1010,2026,3969,1029,2292,1005
1005,1055,2831,1025,2009,2003
2003,2025,2154,1012,102,101
101,102,101,13707,1024,102
102,101,2009,2003,1010,2009
2009,2003,1024,7632,2063,6516
6516,1010,2022,2908,1010,2185
2185,999,102,101,2009,2003
2003,1996,23404,2008,10955,2061
2061,2041,1997,8694,1010,102
102,101,21366,8401,12532,17811
17811,1998,4895,10814,21369,3070
3070,4629,2015,1012,102,101
101,2070,2360,1996,23404,3084
3084,4086,2407,1025,102,101
101,2023,11089,2232,2025,2061
2061,1010,2005,2016,11443,2705
2705,2149,1024,102,101,2070
2070,2360,1996,23404,1998,8840
8840,8988,2098,21344,2689,2159
2159,1010,102,101,1051,1010
1010,2085,1045,2052,2027,2018
2018,2904,5755,2205,999,102
102,101,2144,2849,2013,2849
2849,2008,2376,11089,2232,2149
2149,21358,27843,2100,1010,102
102,101,5933,14992,6516,2007
2007,5690,1005,1055,1011,2039
2039,2000,1996,2154,1010,102
102,101,1051,1010,2085,2022
2022,2908,1025,2062,2422,1998
1998,2422,2009,7502,1012,102
102,101,102,101,12390,1024
1024,102,101,2062,2422,1998
1998,2422,1025,2062,2601,1998
1998,2601,2256,24185,2229,999
999,102,101,102,101,6821
6821,1024,102,101,21658,999
999,102,101,102,101,13707
13707,1024,102,101,6821,1029
1029,102,101,102,101,6821
6821,1024,102,101,2115,3203
3203,2388,2003,2746,2000,2115
2115,4574,1024,102,101,1996
1996,2154,2003,3631,1025,2022
2022,15705,1010,2298,2055,1012
1012,102,101,102,101,13707
13707,1024,102,101,2059,1010
1010,3332,1010,2292,2154,1999
1999,1010,1998,2292,2166,2041
2041,1012,102,101,102,101
101,12390,1024,102,101,13407
13407,1010,13407,999,2028,3610
3610,1010,1998,1045,1005,2222
2222,18855,1012,102,101,102
102,101,13707,1024,102,101
101,2396,15223,2908,2061,1029
1029,2293,1010,2935,1010,1037
1037,2100,1010,3129,1010,2767
2767,999,102,101,1045,2442
2442,2963,2013,14992,2296,2154
2154,1999,1996,3178,1010,102
102,101,2005,1999,1037,3371
3371,2045,2024,2116,2420,1024
1024,102,101,1051,1010,2011
2011,2023,4175,1045,4618,2022
2022,2172,1999,2086,102,101
101,9413,2063,1045,2153,27541
27541,2026,12390,999,102,101
101,102,101,12390,1024,102
102,101,13407,999,102,101
101,1045,2097,18168,4183,2053
2053,4495,102,101,2008,2089
2089,16636,2026,14806,2015,1010
1010,2293,1010,2000,14992,1012
1012,102,101,102,101,13707
13707,1024,102,101,1051,2228
2228,1005,2358,15223,2057,4618
4618,2412,3113,2153,1029,102
102,101,102,101,12390,1024
1024,102,101,1045,4797,2009
2009,2025,1025,1998,2035,2122
2122,24185,2229,4618,3710,102
102,101,2005,4086,15152,2015
2015,1999,2256,2051,2000,2272
2272,1012,102,101,102,101
101,13707,1024,102,101,1051
1051,2643,1010,1045,2031,2019
2019,5665,1011,4487,6371,2075
2075,3969,999,102,101,2777
2777,10606,5705,1045,2156,14992
14992,1010,2085,15223,2396,2917
2917,1010,102,101,2004,2028
2028,2757,1999,1996,3953,1997
1997,1037,8136,1024,102,101
101,2593,2026,2159,18743,11896
11896,1010,2030,15223,2298,1005
1005,2358,5122,1012,102,101
101,102,101,12390,1024,102
102,101,1998,3404,2033,1010
1010,2293,1010,1999,2026,3239
3239,2061,2079,2017,1024,102
102,101,4318,14038,8974,2256
2256,2668,1012,27133,13765,1010
1010,27133,13765,999,102,101
101,102,101,13707,1024,102
102,101,1051,7280,1010,7280
7280,999,2035,2273,2655,14992
14992,10882,19250,1024,102,101
101,2065,15223,2396,10882,19250
19250,1010,2054,9998,2102,15223
15223,2007,2032,1012,102,101
101,2008,2003,17738,7962,1005
1005,1040,2005,4752,1029,2022
2022,10882,19250,1010,7280,1025
1025,102,101,2005,2059,1010
1010,1045,3246,1010,15223,19863
19863,2102,2025,2562,2032,2146
2146,1010,102,101,2021,4604
4604,2032,2067,1012,102,101
101,102,101,3203,6178,9307
9307,2102,1024,102,101,102
102,101,13707,1024,102,101
101,2040,2003,1005,1056,2008
2008,4455,1029,2003,2009,2026
2026,3203,2388,1029,102,101
101,2003,2016,2025,2091,2061
2061,2397,1010,2030,2039,2061
2061,2220,1029,102,101,2054
2054,14477,27631,20389,1005,1040
1040,3426,4013,23887,2015,2014
2014,2718,5886,1029,102,101
101,102,101,3203,6178,9307
9307,2102,1024,102,101,2339
2339,1010,2129,2085,1010,13707
13707,999,102,101,102,101
101,13707,1024,102,101,21658
21658,1010,1045,2572,2025,2092
2092,1012,102,101,102,101
101,3203,6178,9307,2102,1024
1024,102,101,2412,5974,19750
19750,2005,2115,5542,1005,1055
1055,2331,1029,102,101,2054
2054,1010,19863,2102,15223,9378
9378,2032,2013,2010,6542,2007
2007,4000,1029,102,101,2019
2019,2065,15223,2071,3367,1010
1010,15223,2071,3367,2025,2191
2191,2032,2444,1025,102,101
101,3568,1010,2031,2589,1024
1024,2070,9940,3065,2172,1997
1997,2293,1025,102,101,2021
2021,2172,1997,9940,3065,2145
2145,2070,2215,1997,15966,1012
1012,102,101,102,101,13707
13707,1024,102,101,2664,2292
2292,2033,27874,2005,2107,1037
1037,3110,3279,1012,102,101
101,102,101,3203,6178,9307
9307,2102,1024,102,101,2061
2061,4618,2017,2514,1996,3279
3279,1010,2021,2025,1996,2767
2767,102,101,2029,2017,27874
27874,2005,1012,102,101,102
102,101,13707,1024,102,101
101,3110,2061,1996,3279,1010
1010,102,101,3685,5454,2021
2021,2412,27874,1996,2767,1012
1012,102,101,102,101,3203
3203,6178,9307,2102,1024,102
102,101,2092,1010,2611,1010
1010,15223,27874,1005,2358,2025
2025,2061,2172,2005,2010,2331
2331,1010,102,101,2004,2008
2008,1996,12700,3268,2029,14574
14574,1005,1040,2032,1012,102
102,101,102,101,13707,1024
1024,102,101,2054,12700,21658
21658,1029,102,101,102,101
101,3203,6178,9307,2102,1024
1024,102,101,2008,2168,12700
12700,1010,12390,1012,102,101
101,102,101,13707,1024,102
102,101,102,101,3203,6178
6178,9307,2102,1024,102,101
101,2008,2003,1010,2138,1996
1996,17328,13422,3268,1012,102
102,101,102,101,13707,1024
1024,102,101,1037,2100,1010
1010,21658,1010,2013,1996,3362
3362,1997,2122,2026,2398,1024
1024,102,101,2052,3904,2021
2021,1045,2453,2310,15465,2026
2026,5542,1005,1055,2331,999
999,102,101,102,101,3203
3203,6178,9307,2102,1024,102
102,101,2057,2097,2031,14096
14096,2005,2009,1010,3571,15223
15223,2025,1024,102,101,2059
2059,27874,2053,2062,1012,1045
1045,1005,2222,4604,2000,2028
2028,1999,2158,26302,1010,102
102,101,2073,2008,2168,7221
7221,4509,1005,1040,2448,16098
16098,2618,11089,2232,2444,1010
1010,102,101,4618,2507,2032
2032,2107,2019,14477,27631,20389
20389,1005,1040,2852,3286,1010
1010,102,101,2008,2002,4618
4618,2574,2562,5939,10264,2102
2102,2194,1024,102,101,1998
1998,2059,1010,1045,3246,1010
1010,15223,19863,2102,2022,8510
8510,1012,102,101,102,101
101,13707,1024,102,101,5262
5262,1010,1045,2196,4618,2022
2022,8510,102,101,2007,12390
12390,1010,6229,1045,27541,2032
2032,1011,1011,2757,1011,1011
1011,102,101,2003,2026,3532
3532,2540,2005,1037,12631,11512
11512,2310,2595,1005,1040,1012
1012,102,101,21658,1010,2065
2065,2017,2071,2424,2041,2021
2021,1037,2158,102,101,2000
2000,4562,1037,9947,1010,1045
1045,2052,12178,2009,1025,102
102,101,2008,12390,2323,1010
1010,2588,24306,21739,1010,102
102,101,2574,3637,1999,4251
4251,1012,1051,1010,2129,2026
2026,2540,11113,16368,2015,102
102,101,2000,2963,2032,2315
2315,1010,1998,3685,2272,2000
2000,2032,1012,102,101,2000
2000,23277,25508,1996,2293,1045
1045,8501,2026,5542,102,101
101,2588,2010,2303,2008,14574
14574,1005,1040,2032,999,102
102,101,102,101,3203,6178
6178,9307,2102,1024,102,101
101,2424,15223,1996,2965,1010
1010,1998,1045,1005,2222,2424
2424,2107,1037,2158,1012,102
102,101,2021,2085,1045,1005
1005,2222,2425,14992,6569,3993
3993,14841,4667,2015,1010,2611
2611,1012,102,101,102,101
101,13707,1024,102,101,1998
1998,6569,3310,2092,1999,2107
2107,1037,23927,2051,1024,102
102,101,2054,2024,2027,1010
1010,1045,2022,19763,2818,2115
2115,3203,9650,1029,102,101
101,102,101,3203,6178,9307
9307,2102,1024,102,101,2092
2092,1010,2092,1010,15223,2038
2038,2102,1037,6176,2269,1010
1010,2775,1025,102,101,2028
2028,2040,1010,2000,2404,14992
14992,2013,15177,2002,18891,2791
2791,1010,102,101,6045,2232
2232,19616,2041,1037,5573,2154
2154,1997,6569,1010,102,101
101,2008,15223,5987,1005,2358
2358,2025,4496,1045,2298,1005
1005,1040,2025,2005,1012,102
102,101,102,101,13707,1024
1024,102,101,21658,1010,1999
1999,3407,2051,1010,2054,2154
2154,2003,2008,1029,102,101
101,102,101,3203,6178,9307
9307,2102,1024,102,101,5914
5914,1010,2026,2775,1010,2220
2220,2279,9432,22822,2078,1010
1010,102,101,1996,26984,1010
1010,2402,1998,7015,10170,1010
1010,102,101,1996,2221,3000
3000,1010,2012,3002,2848,1005
1005,1055,2277,1010,102,101
101,4618,11361,2191,14992,2045
2045,1037,6569,3993,8959,1012
1012,102,101,102,101,13707
13707,1024,102,101,2085,1010
1010,2011,3002,2848,1005,1055
1055,2277,1998,2848,2205,1010
1010,102,101,2002,4618,2025
2025,2191,2033,2045,1037,6569
6569,3993,8959,1012,102,101
101,1045,4687,2012,2023,24748
24748,1025,2008,1045,2442,21981
21981,102,101,9413,2063,2002
2002,1010,2008,2323,2022,3129
3129,1010,3310,2000,15854,1012
1012,102,101,1045,11839,2017
2017,1010,2425,2026,2935,1998
1998,2269,1010,21658,1010,102
102,101,1045,2097,2025,5914
5914,2664,1025,1998,1010,2043
2043,1045,2079,1010,1045,8415
8415,1010,102,101,2009,4618
4618,2022,12390,1010,3183,2017
2017,2113,1045,5223,1010,102
102,101,2738,2084,3000,1012
1012,2122,2024,2739,5262,999
999,102,101,102,101,3203
3203,6178,9307,2102,1024,102
102,101,2182,3310,2115,2269
2269,1025,2425,2032,2061,4426
4426,1010,102,101,1998,2156
2156,2129,2002,2097,2202,2009
2009,2012,2115,2398,1012,102
102,101,102,101,6178,9307
9307,2102,1024,102,101,2043
2043,1996,3103,4520,1010,1996
1996,2250,11089,2232,2852,10993
10993,29247,24903,1025,102,101
101,2021,2005,1996,10434,1997
1997,2026,2567,1005,1055,2365
2365,102,101,2009,15811,2091
2091,15950,1012,102,101,2129
2129,2085,999,1037,9530,8566
8566,4183,1010,2611,1029,2054
2054,1010,2145,1999,4000,1029
1029,102,101,2412,5974,6457
6457,2075,1029,1999,2028,2210
2210,2303,102,101,15223,4675
4675,21156,1005,2358,1037,11286
11286,1010,1037,2712,1010,1037
1037,3612,1025,102,101,2005
2005,2145,15177,2159,1010,2029
2029,1045,2089,2655,1996,2712
2712,1010,102,101,2079,1041
1041,10322,1998,4834,2007,4000
4000,1025,1996,11286,15177,2303
2303,2003,1010,102,101,8354
8354,1999,2023,5474,7186,1025
1025,1996,7266,1010,15177,19906
19906,1025,102,101,2040,1010
1010,17559,2007,15177,4000,1010
1010,1998,2027,2007,2068,1010
1010,102,101,2302,1037,5573
5573,5475,1010,2097,15849,3388
3388,102,101,15177,22553,1011
1011,7463,2303,1012,2129,2085
2085,1010,2564,999,102,101
101,2031,2017,8116,1005,1040
1040,2000,2014,2256,10037,1029
1029,102,101,102,101,3203
3203,6178,9307,2102,1024,102
102,101,1037,2100,1010,2909
2909,1025,2021,2016,2097,3904
3904,1010,2016,3957,2017,4283
4283,1012,102,101,1045,2052
2052,1996,7966,2020,2496,2000
2000,2014,6542,999,102,101
101,102,101,6178,9307,2102
2102,1024,102,101,3730,999
999,2202,2033,2007,2017,1010
1010,2202,2033,2007,2017,1010
1010,2564,1012,102,101,2129
2129,999,2097,2016,3904,1029
1029,11089,2232,2016,2025,2507
2507,2149,4283,1029,102,101
101,2003,2016,2025,7098,1029
1029,11089,2232,2016,2025,4175
4175,2014,1038,4244,2102,1010
1010,102,101,4895,13966,2004
2004,2016,2003,1010,2008,2057
2057,2031,18481,102,101,2061
2061,11007,1037,10170,2000,2022
2022,2014,8959,16523,17650,1029
1029,102,101,102,101,13707
13707,1024,102,101,2025,7098
7098,1010,2017,2031,1025,2021
2021,18836,1010,2008,2017,2031
2031,1024,102,101,7098,2064
2064,1045,2196,2022,1997,2054
2054,1045,5223,1025,102,101
101,2021,18836,2130,2005,5223
5223,1010,2008,2003,3214,2293
2293,1012,102,101,102,101
101,6178,9307,2102,1024,102
102,101,2129,2085,1010,2129
2129,2085,1010,24494,1011,7961
7961,999,2054,2003,2023,1029
1029,102,101,1005,7098,1010
1010,1005,1998,1005,1045,4067
4067,2017,1010,1005,1998,1005
1005,1045,4067,2017,2025,1025
1025,1005,102,101,1998,2664
2664,1005,2025,7098,1010,1005
1005,10414,7163,2239,1010,2017
2017,1010,102,101,4067,2033
2033,2053,28638,2015,1010,4496
4496,1010,7098,2033,2053,7098
7098,2015,1010,102,101,2021
2021,10768,26328,2115,2986,17651
17651,1005,12154,2102,9432,2279
2279,1010,102,101,2000,2175
2175,2007,3000,2000,3002,2848
2848,1005,1055,2277,1010,102
102,101,2030,1045,2097,8011
8011,14992,2006,1037,27630,16215
16215,8939,2121,1012,102,101
101,2041,1010,2017,2665,1011
1011,15556,12385,3258,999,2041
2041,1010,2017,20220,999,102
102,101,2017,4206,5004,1011
1011,2227,999,102,101,102
102,101,3203,6178,9307,2102
2102,1024,102,101,10882,2063
2063,1010,10882,2063,999,2054
2054,1010,2024,2017,5506,1029
1029,102,101,102,101,13707
13707,1024,102,101,2204,2269
2269,1010,1045,2022,19763,2818
2818,2017,2006,2026,5042,1010
1010,102,101,2963,2033,2007
2007,11752,2021,2000,3713,1037
1037,2773,1012,102,101,102
102,101,6178,9307,2102,1024
1024,102,101,6865,14992,1010
1010,2402,20220,999,4487,6499
6499,8270,11638,23277,3388,2818
2818,999,102,101,1045,2425
2425,14992,2054,1024,2131,14992
14992,2000,2277,1051,1005,9432
9432,1010,102,101,2030,2196
2196,2044,2298,2033,1999,1996
1996,2227,1024,102,101,3713
3713,2025,1010,7514,2025,1010
1010,2079,2025,3437,2033,1025
1025,102,101,2026,3093,2009
2009,2818,1012,2564,1010,2057
2057,18782,2245,2149,1038,4244
4244,2102,102,101,2008,2643
2643,2018,15307,2149,2021,2023
2023,2069,2775,1025,102,101
101,2021,2085,1045,2156,2023
2023,2028,2003,2028,2205,2172
2172,1010,102,101,1998,2008
2008,2057,2031,1037,8364,1999
1999,2383,2014,1024,102,101
101,2041,2006,2014,1010,7632
7632,24573,999,102,101,102
102,101,6821,1024,102,101
101,2643,1999,6014,19994,2014
2014,999,102,101,2017,2024
2024,2000,7499,1010,2026,2935
2935,1010,2000,3446,2014,2061
2061,1012,102,101,102,101
101,6178,9307,2102,1024,102
102,101,1998,2339,1010,2026
2026,3203,9866,1029,2907,2115
2115,4416,1010,102,101,2204
2204,10975,29424,1025,15488,20097
20097,2007,2115,13761,2015,1010
1010,2175,1012,102,101,102
102,101,6821,1024,102,101
101,1045,3713,2053,14712,1012
1012,102,101,102,101,6178
6178,9307,2102,1024,102,101
101,1051,1010,2643,6300,2643
2643,1011,7939,1012,102,101
101,102,101,6821,1024,102
102,101,2089,2025,2028,3713
3713,1029,102,101,102,101
101,6178,9307,2102,1024,102
102,101,3521,1010,2017,12954
12954,9709,7966,999,102,101
101,14395,2115,8992,1051,1005
1005,9413,1037,13761,1005,1055
1055,4605,1025,102,101,2005
2005,2182,2057,2342,2009,2025
2025,1012,102,101,102,101
101,3203,6178,9307,2102,1024
1024,102,101,2017,2024,2205
2205,2980,1012,102,101,102
102,101,6178,9307,2102,1024
1024,102,101,2643,1005,1055
1055,7852,999,2009,3084,2033
2033,5506,1024,102,101,2154
2154,1010,2305,1010,3178,1010
1010,10401,1010,2051,1010,2147
2147,1010,2377,1010,102,101
101,2894,1010,1999,2194,1010
1010,2145,2026,2729,6045,2232
2232,2042,102,101,2000,2031
2031,2014,2674,1005,1040,1024
1024,1998,2383,2085,3024,102
102,101,1037,10170,1997,7015
7015,6687,4270,1010,102,101
101,1997,4189,17183,2229,5267
5267,1010,22446,1010,1998,2053
2053,6321,3345,1005,1040,1010
1010,102,101,4933,1005,1040
1040,1010,2004,2027,2360,1010
1010,2007,17164,3033,1010,102
102,101,10817,1005,1040,2004
2004,2028,1005,1055,2245,2052
2052,4299,1037,2158,1025,102
102,101,1998,2059,2000,2031
2031,1037,23277,29574,16405,2989
2989,7966,1010,102,101,1037
1037,1059,20535,3070,5003,20058
20058,2102,1010,1999,2014,7280
7280,1005,1055,8616,1010,102
102,101,2000,3437,1005,1045
1045,1005,2222,2025,21981,1025
1025,1045,3685,2293,1010,102
102,101,1045,2572,2205,2402
2402,1025,1045,11839,2017,1010
1010,14933,2033,1012,1005,102
102,101,2021,1010,2004,2017
2017,2097,2025,21981,1010,1045
1045,1005,2222,14933,2017,1024
1024,102,101,26918,2063,2073
2073,2017,2097,2017,4618,2025
2025,2160,2007,2033,1024,102
102,101,2298,2000,1005,1056
1056,1010,2228,2006,1005,1056
1056,1010,1045,2079,2025,2224
2224,2000,15333,3367,1012,102
102,101,9432,2003,2379,1025
1025,3913,2192,2006,2540,1010
1010,18012,1024,102,101,2019
2019,2017,2022,3067,1010,1045
1045,1005,2222,2507,2017,2000
2000,2026,2767,1025,102,101
101,1998,2017,2022,2025,1010
1010,6865,1010,11693,1010,2732
2732,3726,1010,3280,1999,102
102,101,1996,4534,1010,102
102,101,2005,1010,2011,2026
2026,3969,1010,1045,1005,2222
2222,11265,1005,9413,13399,14992
14992,1010,102,101,4496,2054
2054,2003,3067,4618,2196,2079
2079,14992,2204,1024,102,101
101,3404,2000,1005,1056,1010
1010,7014,19839,2017,1025,1045
1045,1005,2222,2025,2022,2005
2005,26760,9691,1012,102,101
101,102,101,13707,1024,102
102,101,2003,2045,2053,12063
12063,3564,1999,1996,8044,1010
1010,102,101,2008,5927,2046
2046,1996,3953,1997,2026,9940
9940,1029,102,101,1051,1010
1010,4086,2026,2388,1010,3459
3459,2033,2025,2185,999,102
102,101,8536,2023,3510,2005
2005,1037,3204,1010,1037,2733
2733,1025,102,101,2030,1010
1010,2065,2017,2079,2025,1010
1010,2191,1996,7987,16975,2793
2793,102,101,1999,2008,11737
11737,6104,2073,5939,10264,2102
2102,3658,1012,102,101,102
102,101,3203,6178,9307,2102
2102,1024,102,101,2831,2025
2025,2000,2033,1010,2005,1045
1045,1005,2222,2025,3713,1037
1037,2773,1024,102,101,2079
2079,2004,15223,19863,2102,1010
1010,2005,1045,2031,2589,2007
2007,14992,1012,102,101,102
102,101,13707,1024,102,101
101,1051,2643,999,1011,1011
1011,1051,6821,1010,2129,4618
4618,2023,2022,8729,1029,102
102,101,2026,3129,2003,2006
2006,3011,1010,2026,4752,1999
1999,6014,1025,102,101,2129
